ID,name,Vermin,stars,votes,safety
106464345,Jedi Mind Tricks,V4,3.9,146,PG13
108323241,Mutants Amok,V5,3.7,38,""
106967809,"Baby's Head",V1,3.5,28,R
106822513,Heavy Traffic,V3,3.5,25,""
108673397,Le Privett,V6,3.4,25,""
106918219,She Made Me Do It,V8,4,11,""
106822524,Big Traffic,V4,3.5,20,""
108088522,Original Generation Arete,V6,4,8,""
106490145,Le Fissure King,V3,2.8,32,""
107112674,Jenny,V4,3.6,14,""
108446702,First Come First Served,V10,3.9,8,PG13
107108158,"Dan's Problem",V3,3.1,21,""
108491631,Verisimilitude,V10,3.8,6,""
108092072,The Trojan Arete,V8+,3.8,6,""
106875650,Static Eliminator,V4,3.4,14,""
106821801,Arete of Troy,V0,2.9,25,""
119160923,Press On Nails Sit-Start,V9,4,2,""
108472943,Cookies and Crimps,V4-,2.7,29,""
111588312,The Brute Sit,V10,4,2,""
106822531,Old Soft Hsu,V3,3,21,""
108470914,Sucker Punch,V5,2.8,25,""
106821768,Street Corner,V0-,2.7,27,""
108673389,Le Bernd,V4,3,22,""
107827608,Wet Work Dihedral,V1,4,1,R
109655271,The Endless Summer,V8,4,1,""
107827618,Rain Dance,V2,4,1,""
108024187,Thomas Aquinas,V7,3.6,9,""
106609727,Old Gregg,V3,3,20,""
110861905,No Pigs For Rent,V8+,3.8,4,""
107145064,Morning Glory,V0,3.5,8,""
107108178,The Brute,V9,3.4,9,""
107452864,Old Gregg - Sit,V5,3.1,15,""
107015830,Big Deal,V6,3,17,""
108467478,General Electric,V5,2.9,19,""
108673495,Countdown To Extinction,V9,3.3,10,""
107112819,Entrance Exam,V5,3,14,""
109757464,OG Arete SDS,V7,3.5,4,""
108584746,Whiskey and Success,V9,3.4,5,""
107762146,2 Francs to Glory,V4,3,13,""
107112763,Debra,V8,3.3,6,""
107487807,Arboretum - Sit,V7,3.3,6,""
110113411,Butt Dragon,V9,3.5,2,""
108470931,The Fast and the Flurrious,V7,2.9,13,""
108753004,"Skin 'O My Teeth",V7+,3.1,9,""
106821777,Hallway Traverse,V0,2.9,14,""
108673384,West Nile (aka The Warmup),V3,2.3,25,""
112214944,Silent Observer,V11,3.3,3,""
108863685,Shake Junt,V8,3.2,6,""
107108103,Arboretum,V7,3.2,5,""
118015817,Le Bernd Sit,V5,2.8,12,""
106821787,No Knees,V0+,2.7,15,""
110854069,"Well-Coiffed (my name, perhaps not the actual name...)",V6,2.9,10,""
108740357,Vanity,V4-,2.8,11,""
107398096,"Allen's Route",V1,2.8,12,""
108919370,The Crack Problem,V3,3,6,""
106918827,To a Grave,V5,2.7,12,""
108585501,"Pop, Lock, and Drop",V6,2.8,9,""
108468072,General Steampunk,V6,2.9,7,""
112197853,Electric Body,V11,3,4,""
106836329,"Steve's Traverse",V9,3,4,""
107145108,The Shadows of Those Who Came Before,V0+,3,4,""
106822540,Troy Lite,V0-,2.6,11,""
107408307,Ballet Lessons,V6,3,3,""
107996471,Igemma,V3,2.1,21,""
119266663,"Bear's  Broken Arete",V6-,3,2,""
106769481,Warm Up  2,V1+,2.7,9,""
108737191,The Desolation of Smaug,V7,3,2,""
107112788,You Deserve a Hug,V4,3,2,""
106919306,So I Did It,V9,3,2,""
120208466,The Noir Mini,V6,3,1,""
112085805,Not Without Hope,V11,3,1,""
107112834,Neon Genesis Project,V11+,3,1,""
107015802,Break on Through,V9,3,1,""
107015815,Project?,V10+,3,1,""
107112770,Premature Egg Baby,V8,3,1,""
108002475,The Highway,V9,3,1,PG13
106490181,"Chunks O' Flesh",V1,2.1,19,""
110224292,SickyGnarGnar,V4,3,1,""
107730161,Undertaker,V6,3,1,R
107109753,Walking on Sunshine Project,V6+,3,1,""
108025357,"Tom's Traverse",V9,3,1,""
107108145,Stomp!,V4,2.8,5,""
107436995,The Maw,V5,2.8,5,""
108040591,Overtaker,V7,3,1,""
106609748,"Rapunzel's Tower",V1,3,1,""
108021671,Stairway to Some Mythical Place,V4,3,1,""
106609731,Fuzzy Little Man Peach,V0+,3,1,PG13
107827614,Trailside Distraction,V3,3,1,""
107514716,Hightower,V4,3,1,""
107487834,The Sunrise Tango - Sit,V5,3,1,""
107827580,Unknown,V2,3,1,""
107112688,Trampsylvania,V1,3,1,""
106608949,Bumpis,V3,3,1,""
107422521,"Octopus's Garden",V3,2.4,13,""
108446768,Frigidaire,V7-,2.7,6,""
110882351,Vivendo,V3,2.8,4,""
107145080,The Sunrise Tango,V3,2.8,4,""
119160763,Press On Nails,V4+,2.7,3,""
120294054,Troll’s Toll,V0,2.7,3,""
107487791,Entrance Exam - Sit,V7,2.7,3,""
106608956,Jacked and Tan Traverse,V3-,2.4,7,""
106490162,Stihl,V1-,1.8,19,""
108863689,A.C.L.,V10,2.5,4,""
108483754,Icebox Slab,V0,2,14,""
107514756,"Nico's Problem",V4,2.5,4,""
